sub_id,row_index,contribution_receipt_amount,flag,evidence
4102420231807010566,108028,-50.0,refund_or_adjustment,negative_amount
4112020241071386405,108055,-165.0,refund_or_adjustment,negative_amount
4092320242041368498,108603,-165.0,refund_or_adjustment,negative_amount
4072420241978931247,109043,-12.5,refund_or_adjustment,negative_amount
4011420251130092126,109156,-25.0,refund_or_adjustment,negative_amount
4102420231807011844,109210,-25.0,refund_or_adjustment,negative_amount
4102420231807011418,109433,-100.0,refund_or_adjustment,negative_amount
4102420231807011123,110228,-150.0,refund_or_adjustment,negative_amount
4102420231807011454,110608,-25.0,refund_or_adjustment,negative_amount
4102420231807011152,110893,-1.8,refund_or_adjustment,negative_amount
4102420231807011096,111846,-165.0,refund_or_adjustment,negative_amount
4072420241978929584,112278,-12.5,refund_or_adjustment,negative_amount
4102420231807011451,112326,-2.5,refund_or_adjustment,negative_amount
4072420241978935138,112899,-165.0,refund_or_adjustment,negative_amount
4072120251209632411,113158,-5000.0,refund_or_adjustment,negative_amount
4062320251206920283,113823,-5000.0,refund_or_adjustment,negative_amount
4080620251215494637,114169,-50.0,refund_or_adjustment,negative_amount
4102420231807011804,114344,-12.5,refund_or_adjustment,negative_amount
4082520251233305947,115839,-5000.0,refund_or_adjustment,negative_amount
4102420231807011346,116007,-100.0,refund_or_adjustment,negative_amount
4062320251206919500,116698,-75.0,refund_or_adjustment,negative_amount
4102420231807011097,116701,-1.25,refund_or_adjustment,negative_amount
4102420231807011389,116868,-50.0,refund_or_adjustment,negative_amount
4102420231807011442,118644,-150.0,refund_or_adjustment,negative_amount
4102420231807011822,118804,-50.0,refund_or_adjustment,negative_amount
4102420231807011830,119187,-25.0,refund_or_adjustment,negative_amount
4102420231807010742,120601,-165.0,refund_or_adjustment,negative_amount
4092320242041370108,120876,-50.0,refund_or_adjustment,negative_amount
4072420241978929635,121208,-150.0,refund_or_adjustment,negative_amount
4102420231807011092,122192,-165.0,refund_or_adjustment,negative_amount
4102420231807010806,122867,-25.0,refund_or_adjustment,negative_amount
4080620251215493794,123218,-25.0,refund_or_adjustment,negative_amount
4080620251215494198,123683,-50.0,refund_or_adjustment,negative_amount
4102420231807011858,124018,-25.0,refund_or_adjustment,negative_amount
4092320242041367976,124951,-330.0,refund_or_adjustment,negative_amount
4102420231807010584,125444,-37.5,refund_or_adjustment,negative_amount
4062420241962029869,125987,-75.0,refund_or_adjustment,negative_amount
4011420251130091700,126124,-50.0,refund_or_adjustment,negative_amount
4112020241071385960,127127,-50.0,refund_or_adjustment,negative_amount
4102420231807011369,127421,-25.0,refund_or_adjustment,negative_amount
4102420231807010621,127819,-25.0,refund_or_adjustment,negative_amount
4092320242041369805,129474,-330.0,refund_or_adjustment,negative_amount
4102420231807011141,129651,-5.0,refund_or_adjustment,negative_amount
4102420231807010586,129885,-25.0,refund_or_adjustment,negative_amount
4102420231807011855,129974,-10.0,refund_or_adjustment,negative_amount
4082520251233305132,130145,-100.0,refund_or_adjustment,negative_amount
4102420231807010804,130359,-50.0,refund_or_adjustment,negative_amount
4112020241071384476,131087,-150.0,refund_or_adjustment,negative_amount
4062420241962027892,131433,-25.0,refund_or_adjustment,negative_amount
4102420231807011102,131458,-150.0,refund_or_adjustment,negative_amount
4102420231807011455,131594,-25.0,refund_or_adjustment,negative_amount
4080620251215494403,131745,-25.0,refund_or_adjustment,negative_amount
4102420231807011094,131795,-150.0,refund_or_adjustment,negative_amount
4102420231807011825,132615,-50.0,refund_or_adjustment,negative_amount
4011320231697777435,132627,-2100.0,refund_or_adjustment,negative_amount
4102420231807010739,133068,-25.0,refund_or_adjustment,negative_amount
4072420241978931773,133798,-165.0,refund_or_adjustment,negative_amount
4082220242014751831,134651,-25.0,refund_or_adjustment,negative_amount
4102420231807011340,134841,-25.0,refund_or_adjustment,negative_amount
4030320251179413302,135120,-50.0,refund_or_adjustment,negative_amount
4080620251215495440,135472,-50.0,refund_or_adjustment,negative_amount
4102420231807010805,135864,-75.0,refund_or_adjustment,negative_amount
4072420241978932034,136724,-165.0,refund_or_adjustment,negative_amount
4102420231807011436,136912,-50.0,refund_or_adjustment,negative_amount
4102420231807010572,137241,-25.0,refund_or_adjustment,negative_amount
4102420231807010604,137359,-25.0,refund_or_adjustment,negative_amount
4080620251215493788,138326,-50.0,refund_or_adjustment,negative_amount
4072420241978932502,138953,-125.0,refund_or_adjustment,negative_amount
4011420251130092662,140781,-6.9,refund_or_adjustment,negative_amount
4072420241978932606,140868,-12.5,refund_or_adjustment,negative_amount
4082220242014753366,141022,-25.0,refund_or_adjustment,negative_amount
4102420231807011121,141605,-150.0,refund_or_adjustment,negative_amount
4102420231807011350,142947,-50.0,refund_or_adjustment,negative_amount
4011420251130093019,143553,0.0,zero_amount_void_or_refund,zero_amount
4102420231807011795,143998,-145.0,refund_or_adjustment,negative_amount
4072120251209631303,144382,-25.0,refund_or_adjustment,negative_amount
4102420231807011372,144707,-25.0,refund_or_adjustment,negative_amount
4072420241978930085,145103,-0.5,refund_or_adjustment,negative_amount
4102420231807011430,145605,-150.0,refund_or_adjustment,negative_amount
4102420231807011093,146934,-50.0,refund_or_adjustment,negative_amount
4102420231807011802,147029,-25.0,refund_or_adjustment,negative_amount
4072420241978930019,147808,-8.75,refund_or_adjustment,negative_amount
4032520241885658593,148997,-2100.0,refund_or_adjustment,negative_amount
4122920221645231273,149212,-2900.0,refund_or_adjustment,negative_amount
4102420231807010581,150491,-25.0,refund_or_adjustment,negative_amount
4102420231807010737,150662,-330.0,refund_or_adjustment,negative_amount
4102420231807011850,150838,-12.5,refund_or_adjustment,negative_amount
4112020241071386424,150933,-100.0,refund_or_adjustment,negative_amount
4072420241978934397,151160,-165.0,refund_or_adjustment,negative_amount
4102420231807011330,151208,-25.0,refund_or_adjustment,negative_amount
4030320251179412941,151447,-25.0,refund_or_adjustment,negative_amount
4102420231807011447,151966,-150.0,refund_or_adjustment,negative_amount
4092320242041369836,152208,-330.0,refund_or_adjustment,negative_amount
4112020241071385610,152459,-50.0,refund_or_adjustment,negative_amount
4102420231807010812,152895,-25.0,refund_or_adjustment,negative_amount
4102420231807011142,153023,-25.0,refund_or_adjustment,negative_amount
4032020251180459153,153381,-5000.0,refund_or_adjustment,negative_amount
4102420231807011815,155138,-50.0,refund_or_adjustment,negative_amount
4112020241071384642,155356,-50.0,refund_or_adjustment,negative_amount
4102420231807011425,156620,-50.0,refund_or_adjustment,negative_amount
4102420231807010744,157622,-125.0,refund_or_adjustment,negative_amount
4102420231807011374,158236,-50.0,refund_or_adjustment,negative_amount
4112020241071385294,158346,-50.0,refund_or_adjustment,negative_amount
4072420241978931807,158410,-25.0,refund_or_adjustment,negative_amount
4080620251215494401,158500,-145.01,refund_or_adjustment,negative_amount
4092320242041368595,158682,-125.0,refund_or_adjustment,negative_amount
4102420231807010796,160038,-50.0,refund_or_adjustment,negative_amount
4082220242014751927,160227,-25.0,refund_or_adjustment,negative_amount
4102420231807010592,160919,-100.0,refund_or_adjustment,negative_amount
4102420231807011347,161515,-50.0,refund_or_adjustment,negative_amount
4102420231807010613,162126,-25.0,refund_or_adjustment,negative_amount
4011420251130091936,162422,-25.0,refund_or_adjustment,negative_amount
4011420251130092360,162692,-100.0,refund_or_adjustment,negative_amount
4102420231807010614,163420,-25.0,refund_or_adjustment,negative_amount
4102420231807010608,164668,-12.5,refund_or_adjustment,negative_amount
4072420241978929770,164670,-165.0,refund_or_adjustment,negative_amount
4102420231807011597,164716,-50.0,refund_or_adjustment,negative_amount
4102420231807011839,164898,-25.0,refund_or_adjustment,negative_amount
4082220242014754219,165003,-0.9,refund_or_adjustment,negative_amount
4072420241978930799,165072,-12.5,refund_or_adjustment,negative_amount
4062420241962028096,165154,-75.0,refund_or_adjustment,negative_amount
4102420231807011363,165163,-50.0,refund_or_adjustment,negative_amount
4092520231802907739,165193,-165.0,refund_or_adjustment,negative_amount
4062420241962026865,166565,-60.0,refund_or_adjustment,negative_amount
4102420231807010563,166884,-100.0,refund_or_adjustment,negative_amount
4080620251215495133,167378,-50.0,refund_or_adjustment,negative_amount
4102420231807011849,168499,-50.0,refund_or_adjustment,negative_amount
4080620251215493790,168827,-50.0,refund_or_adjustment,negative_amount
4102420231807011392,169870,-50.0,refund_or_adjustment,negative_amount
4082520251233305094,170321,-350.0,refund_or_adjustment,negative_amount
4102420231807011453,170721,-25.0,refund_or_adjustment,negative_amount
4011420251130092363,171132,-140.0,refund_or_adjustment,negative_amount
4102420231807011857,171155,-25.0,refund_or_adjustment,negative_amount
4062320251206919604,171176,-25.0,refund_or_adjustment,negative_amount
4102420231807010564,171215,-25.0,refund_or_adjustment,negative_amount
4102420231807011130,171808,-165.0,refund_or_adjustment,negative_amount
4072420241978931938,171906,-25.0,refund_or_adjustment,negative_amount
