zip,lat,lng,source,fetched_at
00769,18.096641,-66.358335,census_gazetteer_2023,2025-09-12 15:25:02.814031
00771,18.187148,-65.871189,census_gazetteer_2023,2025-09-12 15:25:02.814031
00772,18.438944,-65.90522,census_gazetteer_2023,2025-09-12 15:25:02.814031
00773,18.342888,-65.723109,census_gazetteer_2023,2025-09-12 15:25:02.814031
00775,18.326611,-65.307771,census_gazetteer_2023,2025-09-12 15:25:02.814031
00777,18.224327,-65.909085,census_gazetteer_2023,2025-09-12 15:25:02.814031
00778,18.264076,-65.97851,census_gazetteer_2023,2025-09-12 15:25:02.814031
00780,18.094076,-66.565781,census_gazetteer_2023,2025-09-12 15:25:02.814031
00782,18.224878,-66.224482,census_gazetteer_2023,2025-09-12 15:25:02.814031
00783,18.300221,-66.328927,census_gazetteer_2023,2025-09-12 15:25:02.814031
00784,18.010714,-66.133615,census_gazetteer_2023,2025-09-12 15:25:02.814031
00786,18.135725,-66.228698,census_gazetteer_2023,2025-09-12 15:25:02.814031
00791,18.142603,-65.812812,census_gazetteer_2023,2025-09-12 15:25:02.814031
00794,18.200018,-66.309282,census_gazetteer_2023,2025-09-12 15:25:02.814031
00795,18.04645,-66.495142,census_gazetteer_2023,2025-09-12 15:25:02.814031
00802,18.342939,-64.925102,census_gazetteer_2023,2025-09-12 15:25:02.814031
00820,17.736627,-64.708215,census_gazetteer_2023,2025-09-12 15:25:02.814031
00830,18.338559,-64.73653,census_gazetteer_2023,2025-09-12 15:25:02.814031
00840,17.72471,-64.848522,census_gazetteer_2023,2025-09-12 15:25:02.814031
00850,17.726822,-64.792245,census_gazetteer_2023,2025-09-12 15:25:02.814031
00851,17.747525,-64.787439,census_gazetteer_2023,2025-09-12 15:25:02.814031
00901,18.466594,-66.107982,census_gazetteer_2023,2025-09-12 15:25:02.814031
00906,18.46446,-66.094995,census_gazetteer_2023,2025-09-12 15:25:02.814031
00907,18.452271,-66.087625,census_gazetteer_2023,2025-09-12 15:25:02.814031
00909,18.441246,-66.068766,census_gazetteer_2023,2025-09-12 15:25:02.814031
00911,18.453656,-66.056338,census_gazetteer_2023,2025-09-12 15:25:02.814031
00912,18.445067,-66.059942,census_gazetteer_2023,2025-09-12 15:25:02.814031
00913,18.464629,-66.04459,census_gazetteer_2023,2025-09-12 15:25:02.814031
00915,18.437179,-66.045571,census_gazetteer_2023,2025-09-12 15:25:02.814031
00917,18.420674,-66.050105,census_gazetteer_2023,2025-09-12 15:25:02.814031
00918,18.422249,-66.069081,census_gazetteer_2023,2025-09-12 15:25:02.814031
00920,18.422439,-66.09214,census_gazetteer_2023,2025-09-12 15:25:02.814031
00921,18.392088,-66.087109,census_gazetteer_2023,2025-09-12 15:25:02.814031
00923,18.410804,-66.037358,census_gazetteer_2023,2025-09-12 15:25:02.814031
00924,18.399186,-66.01258,census_gazetteer_2023,2025-09-12 15:25:02.814031
00925,18.400271,-66.05059,census_gazetteer_2023,2025-09-12 15:25:02.814031
00926,18.348601,-66.053929,census_gazetteer_2023,2025-09-12 15:25:02.814031
00927,18.388202,-66.070033,census_gazetteer_2023,2025-09-12 15:25:02.814031
00934,18.413,-66.119829,census_gazetteer_2023,2025-09-12 15:25:02.814031
00949,18.409879,-66.227441,census_gazetteer_2023,2025-09-12 15:25:02.814031
00950,18.467225,-66.237929,census_gazetteer_2023,2025-09-12 15:25:02.814031
00951,18.42805,-66.259772,census_gazetteer_2023,2025-09-12 15:25:02.814031
00952,18.428724,-66.188931,census_gazetteer_2023,2025-09-12 15:25:02.814031
00953,18.360729,-66.251527,census_gazetteer_2023,2025-09-12 15:25:02.814031
00956,18.321137,-66.170419,census_gazetteer_2023,2025-09-12 15:25:02.814031
00957,18.366147,-66.188962,census_gazetteer_2023,2025-09-12 15:25:02.814031
00959,18.385785,-66.155654,census_gazetteer_2023,2025-09-12 15:25:02.814031
00960,18.416918,-66.142693,census_gazetteer_2023,2025-09-12 15:25:02.814031
00961,18.409907,-66.163361,census_gazetteer_2023,2025-09-12 15:25:02.814031
00962,18.439988,-66.1355,census_gazetteer_2023,2025-09-12 15:25:02.814031
00965,18.430508,-66.110917,census_gazetteer_2023,2025-09-12 15:25:02.814031
00966,18.397875,-66.113935,census_gazetteer_2023,2025-09-12 15:25:02.814031
00968,18.406063,-66.101232,census_gazetteer_2023,2025-09-12 15:25:02.814031
00969,18.366226,-66.110047,census_gazetteer_2023,2025-09-12 15:25:02.814031
00971,18.318884,-66.11919,census_gazetteer_2023,2025-09-12 15:25:02.814031
00976,18.33618,-65.994101,census_gazetteer_2023,2025-09-12 15:25:02.814031
00979,18.438359,-65.999169,census_gazetteer_2023,2025-09-12 15:25:02.814031
00982,18.408744,-65.991273,census_gazetteer_2023,2025-09-12 15:25:02.814031
00983,18.41722,-65.981317,census_gazetteer_2023,2025-09-12 15:25:02.814031
00985,18.410774,-65.947927,census_gazetteer_2023,2025-09-12 15:25:02.814031
00987,18.343988,-65.943754,census_gazetteer_2023,2025-09-12 15:25:02.814031
01001,42.062368,-72.625754,census_gazetteer_2023,2025-09-12 15:25:02.814031
01002,42.377212,-72.464795,census_gazetteer_2023,2025-09-12 15:25:02.814031
01003,42.391883,-72.523584,census_gazetteer_2023,2025-09-12 15:25:02.814031
01005,42.418884,-72.112077,census_gazetteer_2023,2025-09-12 15:25:02.814031
01007,42.283935,-72.400409,census_gazetteer_2023,2025-09-12 15:25:02.814031
01008,42.192024,-72.964076,census_gazetteer_2023,2025-09-12 15:25:02.814031
01009,42.211386,-72.341809,census_gazetteer_2023,2025-09-12 15:25:02.814031
01010,42.128176,-72.205352,census_gazetteer_2023,2025-09-12 15:25:02.814031
01011,42.290128,-72.966516,census_gazetteer_2023,2025-09-12 15:25:02.814031
01012,42.375425,-72.858192,census_gazetteer_2023,2025-09-12 15:25:02.814031
01013,42.142009,-72.595496,census_gazetteer_2023,2025-09-12 15:25:02.814031
01020,42.172611,-72.56192,census_gazetteer_2023,2025-09-12 15:25:02.814031
01022,42.197187,-72.541872,census_gazetteer_2023,2025-09-12 15:25:02.814031
01026,42.470032,-72.925707,census_gazetteer_2023,2025-09-12 15:25:02.814031
01027,42.295008,-72.751877,census_gazetteer_2023,2025-09-12 15:25:02.814031
01028,42.062378,-72.498111,census_gazetteer_2023,2025-09-12 15:25:02.814031
01029,42.176271,-73.035292,census_gazetteer_2023,2025-09-12 15:25:02.814031
01030,42.072925,-72.686972,census_gazetteer_2023,2025-09-12 15:25:02.814031
01031,42.327809,-72.191968,census_gazetteer_2023,2025-09-12 15:25:02.814031
01032,42.457613,-72.81478,census_gazetteer_2023,2025-09-12 15:25:02.814031
01033,42.244949,-72.500143,census_gazetteer_2023,2025-09-12 15:25:02.814031
01034,42.093912,-72.961103,census_gazetteer_2023,2025-09-12 15:25:02.814031
01035,42.356491,-72.568632,census_gazetteer_2023,2025-09-12 15:25:02.814031
01036,42.071188,-72.417718,census_gazetteer_2023,2025-09-12 15:25:02.814031
01037,42.376036,-72.197364,census_gazetteer_2023,2025-09-12 15:25:02.814031
01038,42.379925,-72.604045,census_gazetteer_2023,2025-09-12 15:25:02.814031
01039,42.411304,-72.690951,census_gazetteer_2023,2025-09-12 15:25:02.814031
01040,42.211658,-72.642448,census_gazetteer_2023,2025-09-12 15:25:02.814031
01050,42.291259,-72.874803,census_gazetteer_2023,2025-09-12 15:25:02.814031
01053,42.356301,-72.713584,census_gazetteer_2023,2025-09-12 15:25:02.814031
01054,42.468898,-72.484579,census_gazetteer_2023,2025-09-12 15:25:02.814031
01056,42.183577,-72.457812,census_gazetteer_2023,2025-09-12 15:25:02.814031
01057,42.093596,-72.321494,census_gazetteer_2023,2025-09-12 15:25:02.814031
01060,42.321251,-72.630395,census_gazetteer_2023,2025-09-12 15:25:02.814031
01062,42.323033,-72.701789,census_gazetteer_2023,2025-09-12 15:25:02.814031
01063,42.319584,-72.639539,census_gazetteer_2023,2025-09-12 15:25:02.814031
01066,42.413039,-72.623639,census_gazetteer_2023,2025-09-12 15:25:02.814031
01068,42.353887,-72.060685,census_gazetteer_2023,2025-09-12 15:25:02.814031
01069,42.188862,-72.30648,census_gazetteer_2023,2025-09-12 15:25:02.814031
01070,42.519909,-72.925354,census_gazetteer_2023,2025-09-12 15:25:02.814031
01071,42.160064,-72.87384,census_gazetteer_2023,2025-09-12 15:25:02.814031
01072,42.456968,-72.417244,census_gazetteer_2023,2025-09-12 15:25:02.814031
01073,42.226949,-72.741588,census_gazetteer_2023,2025-09-12 15:25:02.814031
01074,42.380823,-72.103895,census_gazetteer_2023,2025-09-12 15:25:02.814031
01075,42.256532,-72.580248,census_gazetteer_2023,2025-09-12 15:25:02.814031
01077,42.05257,-72.777353,census_gazetteer_2023,2025-09-12 15:25:02.814031
01079,42.185745,-72.33246,census_gazetteer_2023,2025-09-12 15:25:02.814031
01080,42.185727,-72.361558,census_gazetteer_2023,2025-09-12 15:25:02.814031
01081,42.061313,-72.234411,census_gazetteer_2023,2025-09-12 15:25:02.814031
01082,42.299749,-72.279164,census_gazetteer_2023,2025-09-12 15:25:02.814031
01083,42.20684,-72.198619,census_gazetteer_2023,2025-09-12 15:25:02.814031
01084,42.361724,-72.874987,census_gazetteer_2023,2025-09-12 15:25:02.814031
01085,42.153503,-72.771602,census_gazetteer_2023,2025-09-12 15:25:02.814031
01088,42.3827,-72.640361,census_gazetteer_2023,2025-09-12 15:25:02.814031
01089,42.125451,-72.649734,census_gazetteer_2023,2025-09-12 15:25:02.814031
01092,42.191868,-72.235108,census_gazetteer_2023,2025-09-12 15:25:02.814031
01093,42.445258,-72.645058,census_gazetteer_2023,2025-09-12 15:25:02.814031
01094,42.369762,-72.139283,census_gazetteer_2023,2025-09-12 15:25:02.814031
01095,42.138527,-72.420703,census_gazetteer_2023,2025-09-12 15:25:02.814031
01096,42.410538,-72.76577,census_gazetteer_2023,2025-09-12 15:25:02.814031
01097,42.165868,-72.830985,census_gazetteer_2023,2025-09-12 15:25:02.814031
01098,42.397559,-72.943392,census_gazetteer_2023,2025-09-12 15:25:02.814031
01103,42.104418,-72.59008,census_gazetteer_2023,2025-09-12 15:25:02.814031
01104,42.132772,-72.567411,census_gazetteer_2023,2025-09-12 15:25:02.814031
01105,42.095246,-72.577603,census_gazetteer_2023,2025-09-12 15:25:02.814031
01106,42.045695,-72.563323,census_gazetteer_2023,2025-09-12 15:25:02.814031
01107,42.12106,-72.607068,census_gazetteer_2023,2025-09-12 15:25:02.814031
01108,42.082947,-72.55951,census_gazetteer_2023,2025-09-12 15:25:02.814031
01109,42.119674,-72.549726,census_gazetteer_2023,2025-09-12 15:25:02.814031
01118,42.094587,-72.525219,census_gazetteer_2023,2025-09-12 15:25:02.814031
