variant,canonical,source
PREMIER REALTY,"PREMIER REALTY MICHIGAN, LLC",donor_overlap
TROUTMAN PEPPER LOCKE LLP,TROUTMAN PEPPER,donor_overlap
MARINA PACIFIC HOTEL,MARINA PACIFIC HOTEL & SUITES,donor_overlap
ARENTFOX,ARENTFOX SCHIFF,donor_overlap
PAYPAL ADS,PAYPAL,donor_overlap
DENTONS SIROTE,DENTONS,donor_overlap
DENTONS US LLP,DENTONS,donor_overlap
JACKSON,JACKSON LEWIS,donor_overlap
CITADEL EHS,CITADEL,donor_overlap
THRIVE,THRIVE FP,donor_overlap
MUCH,MUCH SHELIST,donor_overlap
KELLER WILLIAMS BEVERLY HILLS,KELLER WILLIAMS,donor_overlap
COMPASS RE,COMPASS,donor_overlap
REDWOOD,REDWOOD LIVING,donor_overlap
EMA INV,EMA INV MGMT,donor_overlap
EMA INVEST,EMA INV MGMT,donor_overlap
"EMA INVEST,MENT",EMA INV MGMT,donor_overlap
MTS HEALTH PARTNERS & ELEMENTS HEALTH,MTS HEALTH PARTNERS,donor_overlap
STATE OF TEXAS EMPLOYEE,STATE OF TEXAS,donor_overlap
MARVISTA,MARVISTA ENT,donor_overlap
BLUE STAR,BLUE STAR BENEFITS,donor_overlap
JEWISH COMMUNITY FOUNDATION,JEWISH COMMUNITY FOUNDATION OF GREATER METROWEST NJ,donor_overlap
IBT GROUP USA LLC,IBT GROUP,donor_overlap
ALTAIR SIGN,ALTAIR SIGN & LIGHT,donor_overlap
MCDERMOTT LAW,MCDERMOTT WILL & EMERY LLP,donor_overlap
UNICO,UNICO ITC,donor_overlap
HOGAN LOVELLS US LLP,HOGAN LOVELLS,donor_overlap
TRADEWEB,TRADEWEB MARKETS,donor_overlap
BEST ENERGY POWER (BEP),BEST ENERGY POWER,donor_overlap
INDEPENDENT CONTRACTOR SATAUS,INDEPENDENT CONTRACTOR,donor_overlap
PHATHOM,PHATHOM PHARMA,donor_overlap
LOEWY LAW,LOEWY LAW FIRM,donor_overlap
WESTPAC,WESTPAC WEALTH,donor_overlap
FIRSTSERVICE,FIRSTSERVICE RESIDENTIAL,donor_overlap
"TOWER VENTURES HOLDINGS, LLC",TOWER VENTURES,donor_overlap
SENIOR HOUSING GROUP LLC SELF-EMPLOYED,SENIOR HOUSING GROUP LLC,donor_overlap
SENIOR HOUSING GROUP LLC (SELF-EMPLOYE,SENIOR HOUSING GROUP LLC,donor_overlap
SENIOR HOUSING GROUP LLC (SELF),SENIOR HOUSING GROUP LLC,donor_overlap
BUSHWICK,BUSHWICK POTATO,donor_overlap
PERKINS,PERKINS COIE,donor_overlap
FLATIRON,THE FLATIRON GROUP,donor_overlap
CENTURY 21,CENTURY 21 STORES,donor_overlap
NORTHERN VALLEY,NORTHERN VALLEY MEDICAL,donor_overlap
METROPOLITAN REALTY,METROPOLITAN REALTY GROUP LLC,donor_overlap
COLDWELL BANKER,COLDWELL BANKER REALTY,donor_overlap
NYU LANGONE HEALTH HUNTINGTON,NYU LANGONE HEALTH HUNTINGTON MEDICAL,donor_overlap
SELECT PET,SELECT PET PRODUCTS,donor_overlap
CRESCENT HEIGHTS,CRESCENT HEIGHTS OF AMERICA,donor_overlap
"FENIGSTEIN & KAUFMAN, A PROFESSIONAL C",FENIGSTEIN & KAUFMAN,donor_overlap
SEPHARDIC INSTITUTE,SEPHARDIC INSTITUTE & SYNAGOGUE,donor_overlap
EMPIRE VALUATION,EMPIRE VALUATION CONSULTANTS,donor_overlap
PANTHEON SYTEMS,PANTHEON SYSTEMS,donor_overlap
PANTHEON,PANTHEON SYSTEMS,donor_overlap
STANHOPE FINANCIAL HOLDINGS LIMITED,STANHOPE FINANCIAL,donor_overlap
REICH AND TRUAX (SEMI RETIRED),REICH AND TRUAX,donor_overlap
CLEVELAND CLINIC FLORIDA,CLEVELAND CLINIC,donor_overlap
GEM,GEM REALTY CAPITAL,donor_overlap
CHILDREN'S HOSPITAL,CHILDREN'S HOSPITAL LOS ANGELES,donor_overlap
RICHARDS,RICHARDS MFG,donor_overlap
ATLANTIC,ATLANTIC ENT,donor_overlap
EY,ERNST AND YOUNG,donor_overlap
C3,C3.AI,donor_overlap
GM,GENERAL MOTORS,donor_overlap
HP,HEWLETT-PACKARD,donor_overlap
WHATSAPP,WHATSAPP LLC,donor_overlap
EDW. C. LEVY CO,EDWARD C. LEVY CO,donor_overlap
EDW C LEVY CO,EDWARD C. LEVY CO,donor_overlap
ZIONS BANK,ZIONS BANCORPORATION,donor_overlap
CAPITAL GROUP COMPANIES,CAPITAL GROUP,donor_overlap
HILCO,HILCO GLOBAL,donor_overlap
LETTUCE ENTERTAIN YOU,LETTUCE ENTERTAIN YOU ENTERPRISES,donor_overlap
CENTERVIEW,CENTERVIEW PARTNERS,donor_overlap
CANYON,CANYON PARTNERS,donor_overlap
S AND P,S AND P GLOBAL,donor_overlap
SCULPTOR,SCULPTOR CAPITAL MANAGEMENT,donor_overlap
SCULPTOR CAPITAL,SCULPTOR CAPITAL MANAGEMENT,donor_overlap
ROCKEFELLER CAPITAL,ROCKEFELLER CAPITAL MANAGEMENT,donor_overlap
DRW,DRW HOLDINGS,donor_overlap
NEWMARK,NEWMARK GROUP,donor_overlap
MILLENNIUM,MILLENNIUM MANAGEMENT,donor_overlap
BLACKSTONE,BLACKSTONE GROUP,donor_overlap
ARES,ARES MANAGEMENT,donor_overlap
APOLLO,APOLLO GLOBAL MANAGEMENT,donor_overlap
APOLLO MANAGEMENT,APOLLO GLOBAL MANAGEMENT,donor_overlap
AMERICAN EXPRESS COMPANY,AMERICAN EXPRESS,donor_overlap
PROFICIO,PROFICIO CAPITAL PARTNERS,donor_overlap
PROFICIO CAPITAL,PROFICIO CAPITAL PARTNERS,donor_overlap
WELLS FARGO,WELLS FARGO ADVISORS,donor_overlap
MESIROW,MESIROW FINANCIAL,donor_overlap
KIMCO,KIMCO REALTY,donor_overlap
BBX,BBX CAPITAL,donor_overlap
ATLANTIC REALTY,ATLANTIC REALTY ASSOCIATES,donor_overlap
UBS FINANCIAL,UBS FINANCIAL SERVICES,donor_overlap
CHURCHILLFORGE,CHURCHILLFORGE PROPERTIES,donor_overlap
PENNANTPARK,PENNANTPARK INVESTMENT CORPORATION,manual
RST,RST DEVELOPMENT,donor_overlap
VIKING,VIKING PARTNERS,donor_overlap
TOTAL INSURANCE,TOTAL INSURANCE SERVICES,donor_overlap
LIGHTSTONE,LIGHTSTONE GROUP,donor_overlap
RLF CAPITAL,RLF CAPITAL ADVISORS,donor_overlap
CARMEL PARTNERS,CARMEL PARTNERS MANAGEMENT,donor_overlap
JES,JES PROPERTIES,donor_overlap
TREGAN,TREGAN PARTNERS,donor_overlap
PATHFINDER,PATHFINDER PARTNERS,donor_overlap
SPANDREL,SPANDREL DEVELOPMENT PARTNERS,donor_overlap
SPANDREL DEVELOPMENT,SPANDREL DEVELOPMENT PARTNERS,donor_overlap
THE KLEIN,THE KLEIN GROUP,donor_overlap
OMNINET,OMNINET CAPITAL,donor_overlap
ROSE REAL ESTATE,ROSE REAL ESTATE SERVICES,donor_overlap
STIFEL,STIFEL FINANCIAL,donor_overlap
BNB,BNB REALTY,donor_overlap
GATEHOUSE,GATEHOUSE MANAGEMENT,donor_overlap
MGS,MGS PARTNERS,donor_overlap
A AND R KATZ,A AND R KATZ MANAGEMENT,donor_overlap
A PRIORI INVESTMENTS,A PRIORI,donor_overlap
ALJ REGIONAL HOLDINGS,ALJ REGIONAL,donor_overlap
AMERICAN CENTURY INVESTMENTS,AMERICAN CENTURY,donor_overlap
AMERICAN INDUSTRIAL,AMERICAN INDUSTRIAL PARTNERS,donor_overlap
AMROCK,AMROCK HOLDINGS,donor_overlap
AND WEALTH,AND WEALTH PARTNERS,donor_overlap
ARKHOUSE PARTNERS,ARKHOUSE,donor_overlap
ARONOV REALTY,ARONOV REALTY MANAGEMENT INC,donor_overlap
ATALAN,ATALAN CAPITAL,donor_overlap
ATALAN CAPITAL PARTNERS,ATALAN CAPITAL,donor_overlap
AVANTI PROPERTIES,AVANTI PROPERTIES GROUP,donor_overlap
BAINBRIDGE,BAINBRIDGE COMPANIES,donor_overlap
BALLARD,BALLARD PARTNERS,donor_overlap
BDT AND MSD PARTNERS,BDT AND MSD,donor_overlap
BEAL PROPERTIES,BEAL,donor_overlap
BLUE ARCH,BLUE ARCH CAPITAL,donor_overlap
BNB REALTY PARTNERS,BNB REALTY,donor_overlap
BOLD PARTNERS,BOLD,donor_overlap
BP DIVERSIFIED INVESTMENTS,BP DIVERSIFIED,donor_overlap
BRADDOCK,BRADDOCK FINANCIAL,donor_overlap
BROAD STREET,BROAD STREET DEVELOPMENT,donor_overlap
