committee_number,committee_name,committee_short,raised,spent,irs_990_link,logo_path
C00797670,American Israel Public Affairs Committee Political Action Committee,AIPAC,73500000,79100000,https://projects.propublica.org/nonprofits/organizations/530217164/202442219349301469/full,/images/logos/committee/Aipac_Logo.png
C00710848,Democratic Majority for Israel PAC,DMFI,9000000,8800000,https://www.opensecrets.org/political-action-committees-pacs/democratic-majority-for-israel/C00710848/summary/2022,/images/logos/committee/Dmfi_Logo.png
C00799031,The United Democracy Project,UDP,,,,/images/logos/committee/Udp_logo.png
,American Israel Education Foundation,AIEF,59700000,44600000,https://projects.propublica.org/nonprofits/organizations/521623781/202312199349300236/full,/images/logos/committee/Aief_Logo.png
,Zionist Organization of America,ZOA,6750000,5420000,https://projects.propublica.org/nonprofits/organizations/135628475/202322519349301202/full,/images/logos/committee/Zoa_logo.png
